"Service","Relational Database Service($)","EC2-Instances($)","VPC($)","EC2-Other($)","Amplify($)","Route 53($)","S3($)","Elastic Container Service($)","Location Service($)","Elastic Load Balancing($)","Secrets Manager($)","EC2 Container Registry (ECR)($)","CloudShell($)","CodeArtifact($)","Glue($)","Key Management Service($)","SNS($)","SQS($)","CloudWatch($)","Tax($)","Certificate Manager($)","CloudFront($)","ElastiCache($)","Cost Explorer($)","Lambda($)","API Gateway($)","Data Transfer($)","Total costs($)"
"Service total","124.986710302","62.1491600711","18.6","13.0932564","11.8640954981","3.2050515","0.0166588041","0.00208873","0.000787","0.0007075337","0.00000144","3.321e-7","1.769e-7","0","0","0","0","0","0","0","0","0","0","0","0","0","-7.3043765135","226.6141412745"
"2025-06-01","0.0000002415","0.0000001079","0","0.615358585","0.000000018","0","0.0000002916","","0","","0","","","0","0","0","0","0","0","","","","","","","","-0.6153592461","-2.1e-9"
"2025-07-01","0.0000036503","0","0","0.974990002","-0.0000000306","0","0.0000003095","","0","","0","","","0","0","0","0","0","0","","","","","","","","-0.9749941514","-2.202e-7"
"2025-08-01","124.9866763299","62.1491599632","18.6","5.7917129187","11.8640955676","3.2050515","0.0166569497","","0.000787","","0","","","0","0","0","0","0","0","0","","","","","","","","226.6141402291"
"2025-09-01","0.0000109514","0","0","0.1649869859","-0.0000000336","0","0.0000003522","0.0006540098","0","0.0001665201","0","0.0000000066","0.0000000495","0","0","0","0","0","0","","0","0","0","","","","-0.1658189518","-1.099e-7"
"2025-10-01","0.0000112945","0","0","2.9790735742","0.0000000007","0","0.0000005027","0.0008439665","0","0.0005410136","0","0.0000001815","","0","0","0","0","0","0","","","0","0","0","0","0","-2.9804703111","2.226e-7"
"2025-11-01","0.0000078344","0","0","2.5671343342","-0.000000024","0","0.0000003984","0.0005907537","0","","0.00000144","0.000000144","0.0000001274","0","0","0","0","0","0","","","0","0","","","","-2.5677338531","0.000001155"
